DDI-MedLine.d180.s1|DDI-MedLine.d180.s1.e0|DDI-MedLine.d180.s1.e1|null
DDI-DrugBank.d41.s15|DDI-DrugBank.d41.s15.e0|DDI-DrugBank.d41.s15.e2|null
DDI-DrugBank.d41.s15|DDI-DrugBank.d41.s15.e1|DDI-DrugBank.d41.s15.e2|null
DDI-DrugBank.d41.s16|DDI-DrugBank.d41.s16.e0|DDI-DrugBank.d41.s16.e1|null
DDI-DrugBank.d41.s16|DDI-DrugBank.d41.s16.e0|DDI-DrugBank.d41.s16.e2|null
DDI-DrugBank.d41.s16|DDI-DrugBank.d41.s16.e1|DDI-DrugBank.d41.s16.e2|null
DDI-MedLine.d118.s0|DDI-MedLine.d118.s0.e0|DDI-MedLine.d118.s0.e1|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e0|DDI-MedLine.d118.s2.e1|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e0|DDI-MedLine.d118.s2.e2|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e0|DDI-MedLine.d118.s2.e3|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e0|DDI-MedLine.d118.s2.e4|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e1|DDI-MedLine.d118.s2.e2|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e1|DDI-MedLine.d118.s2.e3|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e1|DDI-MedLine.d118.s2.e4|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e2|DDI-MedLine.d118.s2.e3|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e2|DDI-MedLine.d118.s2.e4|null
DDI-MedLine.d118.s2|DDI-MedLine.d118.s2.e3|DDI-MedLine.d118.s2.e4|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e0|DDI-MedLine.d118.s3.e1|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e0|DDI-MedLine.d118.s3.e2|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e0|DDI-MedLine.d118.s3.e3|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e0|DDI-MedLine.d118.s3.e4|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e1|DDI-MedLine.d118.s3.e2|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e1|DDI-MedLine.d118.s3.e3|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e1|DDI-MedLine.d118.s3.e4|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e2|DDI-MedLine.d118.s3.e3|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e2|DDI-MedLine.d118.s3.e4|null
DDI-MedLine.d118.s3|DDI-MedLine.d118.s3.e3|DDI-MedLine.d118.s3.e4|null
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e1|null
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e2|null
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e1|DDI-DrugBank.d179.s1.e2|null
DDI-DrugBank.d179.s2|DDI-DrugBank.d179.s2.e0|DDI-DrugBank.d179.s2.e1|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e1|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e2|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e3|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e4|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e5|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e2|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e3|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e4|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e5|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e3|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e4|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e5|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e2|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e3|DDI-DrugBank.d179.s3.e4|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e3|DDI-DrugBank.d179.s3.e5|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e3|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e3|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e3|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e4|DDI-DrugBank.d179.s3.e5|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e4|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e4|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e4|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e5|DDI-DrugBank.d179.s3.e6|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e5|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e5|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e6|DDI-DrugBank.d179.s3.e7|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e6|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e7|DDI-DrugBank.d179.s3.e8|null
DDI-DrugBank.d179.s6|DDI-DrugBank.d179.s6.e0|DDI-DrugBank.d179.s6.e1|null
DDI-DrugBank.d179.s7|DDI-DrugBank.d179.s7.e0|DDI-DrugBank.d179.s7.e1|null
DDI-DrugBank.d179.s8|DDI-DrugBank.d179.s8.e0|DDI-DrugBank.d179.s8.e1|null
DDI-DrugBank.d179.s9|DDI-DrugBank.d179.s9.e0|DDI-DrugBank.d179.s9.e1|null
DDI-DrugBank.d179.s10|DDI-DrugBank.d179.s10.e0|DDI-DrugBank.d179.s10.e1|null
DDI-DrugBank.d179.s11|DDI-DrugBank.d179.s11.e0|DDI-DrugBank.d179.s11.e1|null
DDI-DrugBank.d179.s12|DDI-DrugBank.d179.s12.e0|DDI-DrugBank.d179.s12.e1|null
DDI-DrugBank.d179.s14|DDI-DrugBank.d179.s14.e0|DDI-DrugBank.d179.s14.e1|null
DDI-DrugBank.d179.s16|DDI-DrugBank.d179.s16.e0|DDI-DrugBank.d179.s16.e1|null
DDI-DrugBank.d179.s17|DDI-DrugBank.d179.s17.e0|DDI-DrugBank.d179.s17.e1|null
DDI-DrugBank.d179.s18|DDI-DrugBank.d179.s18.e0|DDI-DrugBank.d179.s18.e1|null
DDI-DrugBank.d179.s19|DDI-DrugBank.d179.s19.e0|DDI-DrugBank.d179.s19.e1|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e1|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e2|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e3|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e4|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e5|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e0|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e2|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e3|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e4|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e5|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e1|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e3|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e4|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e5|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e2|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e4|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e5|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e3|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e5|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e4|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e6|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e16|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e17|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e18|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e19|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e20|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e21|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e22|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e23|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e5|DDI-DrugBank.d179.s21.e24|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e7|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e8|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e9|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e10|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e11|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e12|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e13|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e14|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e15|null
DDI-DrugBank.d179.s21|DDI-DrugBank.d179.s21.e6|DDI-DrugBank.d179.s21.e16|null
